Domain,mean,domain_abundance_std,count_domain,percentile_rank
Redoxin,731.245,0.0,1,98.67580620034273
Ribosomal_L38e,730.425,0.0,1,98.66022744975854
PC4,715.69,0.0,1,98.64464869917433
COX6C,711.938,0.0,1,98.62906994859011
eIF-5a,710.4696666666667,0.0,3,98.61349119800592
HnRNPA1,710.12525,147.6644020084055,2,98.59791244742172
Ribosomal_L21e,709.641,0.0,1,98.58233369683751
Ribosomal_S28e,706.376,0.0,1,98.56675494625331
Ribosomal_L36e,705.872,0.0,1,98.55117619566911
Rho_GDI,705.6529999999999,0.0,3,98.5355974450849
Ribosomal_L35Ae,704.558,0.0,1,98.5200186945007
ATP-synt_ab_N,702.8548000000001,0.0,5,98.4966505686244
ATP-synt_ab,702.8548000000001,0.0,5,98.4966505686244
TMA7,691.798,0.0,1,98.47328244274809
CBFNT,687.249,0.0,2,98.45770369216389
Ribosomal_L19e,674.879,0.0,1,98.44212494157969
Ribosomal_L18,669.769,0.0,1,98.42654619099548
Collagen_mid,664.47,0.0,1,98.40317806511918
HnRNP_M_NLS,664.47,0.0,1,98.40317806511918
Lipocalin,661.8392,0.0,35,98.37980993924288
Ribosomal_L15e,661.123,0.0,1,98.36423118865866
MIF,657.475,77.15100668170184,3,98.34865243807447
TAL_FSA,652.653,0.0,1,98.33307368749026
Tubulin_C,650.3601166666666,424.08661539870997,20,98.31749493690606
Calreticulin,649.7605,0.0,6,98.30191618632186
Ribosomal_L6,645.275,0.0,2,98.28633743573766
Ribosomal_S3Ae,642.125,0.0,1,98.27075868515345
MG1,638.44075,0.0,4,98.25517993456924
Arginosuc_synth,634.892,0.0,1,98.23960118398504
ATP-gua_Ptrans,628.5651250000001,172.7511363913418,4,98.21623305810874
ATP-gua_PtransN,628.5651250000001,172.7511363913418,4,98.21623305810874
Ribosomal_S26e,627.626,0.0,1,98.19286493223244
Ribosomal_L2,624.298,0.0,2,98.16949680635612
Ribosomal_L2_C,624.298,0.0,2,98.16949680635612
Ribosomal_60s,622.9986,0.0,5,98.14612868047983
Ribosomal_S21e,618.058,0.0,1,98.13054992989562
F_actin_cap_B,600.641,0.0,1,98.11497117931141
40S_SA_C,595.565,0.0,1,98.09939242872721
Tubulin,593.3193333333334,424.08661539870997,22,98.08381367814302
Ribosomal_L31e,589.614,0.0,1,98.0682349275588
Actin,585.448859375,3.7964563081905736,33,98.05265617697461
Dermcidin,583.204,0.0,1,98.03707742639041
Jacalin,580.9105,0.0,2,98.0214986758062
P34-Arc,576.737,0.0,1,98.005919925222
ERp29_N,571.41,0.0,1,97.9825517993457
ERp29,571.41,0.0,1,97.9825517993457
Ribosomal_L27e,567.65,0.0,1,97.95918367346938
CPSase_sm_chain,565.3109999999999,0.0,2,97.93581554759308
CPSase_L_D3,565.3109999999999,0.0,2,97.93581554759308
PRKCSH-like,560.195,0.0,1,97.91244742171678
Ribosomal_L14e,558.687,0.0,1,97.89686867113258
EFhand_Ca_insen,553.357,0.0,5,97.88128992054837
Cystatin,548.3797647058824,0.0,22,97.86571116996416
Cornifin,544.0644,0.0,10,97.85013241937996
ETF_alpha,538.236,0.0,1,97.83455366879576
Ribosomal_S6e,533.17,0.0,1,97.81897491821155
KAsynt_C_assoc,532.561,0.0,1,97.78781741704316
PS-DH,532.561,0.0,1,97.78781741704316
KR,532.561,0.0,1,97.78781741704316
Ku_PK_bind,532.341,0.0,1,97.75665991587475
DJ-1_PfpI,530.1395,0.0,4,97.74108116529054
Ribosomal_S25,528.064,0.0,1,97.72550241470634
GTP_EFTU_D2,526.0345263157894,0.0,19,97.70992366412213
ADH_zinc_N,524.4708888888889,0.0,20,97.69434491353793
Ribosomal_S11,524.0585,0.0,2,97.67876616295374
ADH_N,523.995,0.0,17,97.66318741236952
6PGD,523.588,0.0,1,97.64760866178533
Poly_export,522.07,1.5047232303649631,2,97.63202991120113
TT_ORF2a,521.048,0.0,1,97.60087241003271
DUF945,521.048,0.0,19,97.60087241003271
LmeA,521.048,0.0,3,97.60087241003271
HIT,516.2230000000001,0.0,3,97.56971490886431
COX2_TM,514.424,0.0,1,97.546346782988
COX2,514.424,0.0,1,97.546346782988
HipN,509.11899999999997,0.0,3,97.52297865711171
Ribosomal_L5_C,508.843,0.0,1,97.49961053123539
Ribosomal_L5,508.843,0.0,1,97.49961053123539
Siah-Interact_N,508.531,0.0,1,97.47624240535909
Ribonuc_L-PSP,507.535,0.0,1,97.46066365477488
Cofilin_ADF,507.04499999999996,0.0,12,97.44508490419068
Osteopontin,505.648,0.0,1,97.42950615360648
Histone,504.15690000000006,0.0,40,97.41392740302229
Catalase-rel,503.85,0.0,1,97.39055927714597
Catalase,503.85,0.0,1,97.39055927714597
SVA,500.63825,0.0,4,97.36719115126967
SBP56,497.74,0.0,1,97.35161240068547
Transketolase_N,496.0113333333333,0.0,4,97.33603365010126
Med20,493.411,0.0,1,97.32045489951706
Caldesmon,493.3876666666667,0.0,6,97.30487614893285
ETF,490.0395,0.0,2,97.28929739834865
Ribosomal_L34e,488.611,0.0,1,97.27371864776445
Ku_C,486.884,0.0,2,97.24256114659605
Ku,486.884,0.0,2,97.24256114659605
Ku_N,486.884,0.0,2,97.24256114659605
SAA,486.7293333333334,0.0,3,97.21140364542764
CDC48,481.17049999999995,0.0,2,97.18803551955133
CDC48_N,481.17049999999995,0.0,2,97.18803551955133
Ribosomal_S13_N,478.442,0.0,1,97.16466739367503
Ribosomal_L11,476.724,0.0,2,97.14129926779871
Ribosomal_L11_N,476.724,0.0,2,97.14129926779871
MGS,475.8036666666667,0.0,3,97.11793114192243
Keratin_2_head,474.93684615384615,0.0,35,97.10235239133821
RL10P_insert,474.7126666666666,0.0,3,97.086773640754
Pro-rich,473.17175,849.0337187724055,18,97.0711948901698
FumaraseC_C,470.762,0.0,1,97.05561613958561
UPF0154,470.2905,0.0,2,97.0400373890014
NOPS,470.061,0.0,3,97.0244586384172
C1-set,469.39495528455285,10.913730335377236,46,97.008879887833
S10_plectin,468.69100000000003,0.0,2,96.99330113724879
P21-Arc,468.252,0.0,1,96.9777223866646
Ribosomal_S19,466.109,0.0,1,96.96214363608038
Thiolase_N,464.94416666666666,0.0,6,96.93877551020408
Thiolase_C,464.94416666666666,0.0,6,96.93877551020408
HSP70,462.1365625,0.0,21,96.91540738432778
Clathrin_lg_ch,459.217,0.0,2,96.89982863374358
Pro-NT_NN,458.764,0.0,1,96.88424988315937
Pyrophosphatase,451.8555,0.0,2,96.86867113257517
S4,450.26625,0.0,4,96.85309238199096
Filament,448.85737179487177,27.888291449997354,86,96.83751363140675
EHN,447.518,0.0,1,96.82193488082255
S,446.93224999999995,0.0,28,96.80635613023836
Nucleoplasmin,442.30733333333336,0.0,3,96.79077737965414
Porin,440.4388,0.0,5,96.77519862906995
Esterase,435.074,0.0,1,96.75961987848575
Ribosomal_S8,435.028,0.0,1,96.74404112790155
DUF5663,433.94,0.0,1,96.72846237731734
PA28_beta,433.1566666666667,0.0,3,96.70509425144104
PA28_alpha,433.1566666666667,0.0,3,96.70509425144104
Histone_H2A_C,432.34242857142857,0.0,14,96.68172612556472
CAP_N,431.00300000000004,0.0,2,96.65835799968843
CAP_C,431.00300000000004,0.0,2,96.65835799968843
Ribosomal_L23,430.9385,0.0,2,96.63498987381212
Ribosomal_L26,429.6585,45.154629762627884,2,96.61941112322792
CNPase,426.844,0.0,1,96.60383237264372
MG4,426.076,0.0,8,96.58825362205951
Ribosomal_S4,423.1155,0.0,2,96.5726748714753
Cytochrom_B562,422.551,0.0,1,96.5570961208911
VBS,418.947,0.0,7,96.5337279950148
Talin_middle,418.947,0.0,3,96.5337279950148
SRP14,418.922,0.0,1,96.5103598691385
ANATO,417.213,0.0,8,96.4947811185543
Troponin,417.01783333333333,0.0,9,96.47920236797009
Linker_histone,414.31733333333335,0.0,16,96.46362361738589
Ribosomal_L4,414.008,0.0,2,96.44804486680168
Thrombin_light,413.689,0.0,1,96.43246611621747
Ribosomal_L30_N,412.98650000000004,0.0,2,96.41688736563327
HMG_CoA_synt_N,412.06100000000004,0.0,2,96.39351923975697
HMG_CoA_synt_C,412.06100000000004,0.0,2,96.39351923975697
LTD,411.6776,0.0,5,96.37015111388067
Serpin,411.1988857142857,32.16204483548893,35,96.35457236329647
UCR_14kD,410.58,0.0,1,96.33899361271226
Pro_isomerase,410.40890909090916,0.0,22,96.32341486212806
S-methyl_trans,409.4116666666667,0.0,3,96.30783611154385
FTCD_C,408.096,0.0,1,96.28446798566756
FTCD,408.096,0.0,1,96.28446798566756
ER,405.275,0.0,1,96.26109985979124
PCNA_C,404.717,0.0,1,96.23773173391494
PCNA_N,404.717,0.0,1,96.23773173391494
OSCP,404.339,110.25208932260647,1,96.21436360803864
EF1_GNE,403.382,0.0,2,96.19099548216234
EF-1_beta_acid,403.382,0.0,2,96.19099548216234
zf-RNPHF,402.4256666666667,0.0,3,96.16762735628602
ATP-synt_F6,400.61,0.0,1,96.15204860570182
Peptidase_C12,398.62699999999995,0.0,4,96.13646985511762
Ferritin,396.99199999999996,0.0,4,96.12089110453341
PRAP,395.923,0.0,1,96.10531235394922
Ribosomal_L27A,393.62050000000005,0.0,2,96.08973360336502
PTRF_SDPR,393.048,0.0,4,96.07415485278081
Ig_J_chain,390.374,0.0,1,96.0585761021966
ATP-synt_A,390.279,0.0,1,96.0429973516124
Ribosomal_S8e,389.00050000000005,0.0,2,96.0274186010282
Clusterin,388.3615,0.0,2,96.01183985044399
HMG14,387.8036,0.0,5,95.9962610998598
Ribosomal_S9,384.0425,0.0,2,95.9806823492756
A2M_recep,382.7392222222222,0.0,9,95.92615672223089
A2M_BRD,382.7392222222222,0.0,9,95.92615672223089
TED_complement,382.7392222222222,0.0,9,95.92615672223089
MG3,382.7392222222222,0.0,9,95.92615672223089
A2M,382.7392222222222,0.0,9,95.92615672223089
MG2,382.7392222222222,0.0,9,95.92615672223089
EF1G,381.72,0.0,1,95.87163109518616
3HCDH_N,381.448,0.0,4,95.84826296930986
3HCDH,381.448,0.0,6,95.84826296930986
Iso_dh,381.37260000000003,0.0,5,95.82489484343355
Ribosomal_S17,380.9165,0.0,2,95.80931609284934
ATP_synth_reg,380.559,0.0,1,95.79373734226515
MARCKS,379.596,0.0,3,95.77815859168095
Cpn60_TCP1,378.61650000000003,0.0,19,95.76257984109674
Ribophorin_I,377.005,0.0,1,95.74700109051254
PADR1,374.408,0.0,1,95.73142233992834
Lipoprotein,374.296,0.0,1,95.71584358934413
CDC37_C,373.533,0.0,1,95.69247546346783
CDC37_N,373.533,0.0,1,95.69247546346783
PGDH_inter,372.861,0.0,1,95.66910733759153
Transketolase_C,368.0677999999999,0.0,5,95.65352858700732
SDA1,367.94375,0.0,5,95.63794983642312
Ribosomal_L10,365.99925,0.0,4,95.62237108583892
Mt_ATP-synt_B,365.896,0.0,1,95.60679233525471
PROL5-SMR,364.6046666666667,0.0,3,95.59121358467051
LRR_RI_capping,356.93,0.0,1,95.57563483408632
Clathrin-link,356.48900000000003,0.0,2,95.55226670821
Clathrin_propel,356.48900000000003,0.0,12,95.55226670821
GTP_EFTU,355.86516666666665,0.0,30,95.5288985823337
Propeptide_C1,355.344,0.0,1,95.5133198317495
PRA1,354.124,0.0,3,95.49774108116529
SAICAR_synt,351.915,0.0,1,95.47437295528898
AIRC,351.915,0.0,1,95.47437295528898
Leg1,349.182,0.0,1,95.45100482941268
G10,346.884,0.0,1,95.43542607882848
ADI,346.2245,0.0,2,95.41984732824427
Succ_DH_flav_C,343.443,0.0,1,95.40426857766006
Neuromodulin_N,343.214,0.0,1,95.38090045178377
Neuromodulin,343.214,0.0,1,95.38090045178377
ELFV_dehydrog,342.1055,0.0,4,95.35753232590746
Skp1,340.728,0.0,1,95.34195357532326
AT_hook,338.96799999999996,0.0,6,95.32637482473906
40S_S4_C,338.01433333333335,0.0,3,95.29521732357065
Ribosomal_S4e,338.01433333333335,0.0,3,95.29521732357065
RS4NT,338.01433333333335,0.0,3,95.29521732357065
Ribosomal_S24e,337.89,0.0,1,95.26405982240225
Peptidase_M17_N,335.291,0.0,1,95.24848107181803
EFG_III,333.8272,0.0,5,95.22511294594173
EFG_IV,333.8272,0.0,5,95.22511294594173
Ribosomal_S17e,333.06,0.0,1,95.20174482006543
Ribosomal_L3,329.85066666666665,0.0,4,95.18616606948123
SSB,328.533,0.0,1,95.17058731889702
ATP-synt_DE_N,327.394,0.0,1,95.15500856831282
Ribosomal_S2,326.70700000000005,0.0,4,95.13942981772861
SH3BGR,326.33959999999996,0.0,5,95.12385106714441
Carb_anhydrase,325.18105882352944,0.0,17,95.10827231656022
Involucrin_N,323.248,0.0,1,95.0849041906839
Involucrin,323.248,0.0,38,95.0849041906839
SRP9-21,322.841,0.0,1,95.06153606480761
UCR_hinge,321.932,0.0,2,95.0459573142234
TMEM213,320.5,0.0,1,95.03037856363919
DUF108,320.297,0.0,1,95.01479981305499
TMEM40,319.953,0.0,1,94.99922106247078
Ribophorin_II,316.924,0.0,1,94.98364231188658
PPP1R35_C,316.842,0.0,1,94.96806356130239
IGF2_C,316.353,0.0,1,94.95248481071819
Skp1_POZ,314.65049999999997,0.0,2,94.93690606013398
UDP-g_GGTase,314.2681666666667,326.2300774614443,4,94.92132730954978
COX5B,313.397,0.0,1,94.90574855896557
Ribosom_S12_S23,313.0055,0.0,2,94.89016980838136
Ribosomal_L24e,312.86499999999995,0.0,2,94.87459105779716
ATP-synt_E,312.283,0.0,1,94.85901230721296
Hepcidin,308.72,0.0,1,94.84343355662875
Aconitase_C,308.3723333333333,0.0,3,94.82006543075245
Aconitase,308.3723333333333,0.0,4,94.82006543075245
Mt_ATP-synt_D,308.254,0.0,2,94.79669730487615
NuDC,308.196,0.0,1,94.78111855429194
Rib_recp_KP_reg,307.671,0.0,2,94.76553980370774
Ribosomal_L14,307.4925,0.0,2,94.74996105312354
Ribosomal_L13,307.301,0.0,2,94.73438230253933
Vinculin,306.40099999999995,0.0,12,94.71880355195513
Thioesterase,306.358,0.0,2,94.70322480137094
Ribosomal_S27e,305.95375,29.82929956435449,2,94.68764605078673
Alpha-amylase_C,305.20225,0.0,4,94.67206730020253
eIF-4B,304.987,0.0,1,94.65648854961832
SGS,304.45550000000003,0.0,2,94.6409097990341
MHC_I_C,302.97775,0.0,4,94.62533104844991
DSBA,300.886,0.0,1,94.60975229786571
MBF1,300.249,0.0,1,94.59417354728151
Synuclein,299.83366666666666,0.0,3,94.5785947966973
MAM33,298.0545,0.0,2,94.5630160461131
LMWPc,296.998,0.0,1,94.5396479202368
Sec61_beta,296.998,0.0,1,94.5396479202368
AICARFT_IMPCHas,296.789,0.0,1,94.51627979436049
Fibrillarin,296.121,0.0,1,94.50070104377629
CoA_binding,295.8845,0.0,2,94.48512229319208
UCR_UQCRX_QCR9,295.271,0.0,1,94.46954354260788
UDPG_MGDP_dh_C,295.262,0.0,1,94.43838604143949
UDPG_MGDP_dh,295.262,0.0,1,94.43838604143949
UDPG_MGDP_dh_N,295.262,0.0,1,94.43838604143949
zn-ribbon,293.85,0.0,2,94.40722854027108
DUF5110,293.7175,0.0,2,94.39164978968687
Semenogelin,293.231,0.0,3,94.37607103910265
eIF-6,292.915,0.0,1,94.36049228851846
ATP-synt_Eps,292.808,0.0,2,94.34491353793426
P16-Arc,292.17650000000003,0.0,2,94.32933478735005
DUF953,292.125,0.0,1,94.31375603676585
APOC4,290.361,0.0,1,94.29817728618166
Rhodopsin_N,288.503,0.0,1,94.28259853559744
ketoacyl-synt,287.7475,0.0,2,94.25923040972114
Ketoacyl-synt_C,287.7475,0.0,2,94.25923040972114
Ribosomal_S15,287.433,0.0,2,94.23586228384484
Proteasome_A_N,286.25100000000003,0.0,8,94.22028353326063
KOW,284.86875,0.0,14,94.20470478267643
CAS_CSE1,283.827,0.0,1,94.18912603209223
Protamine_P2,283.687,0.0,1,94.17354728150802
Calsequestrin,283.5,0.0,5,94.15796853092382
SPC12,282.732,0.0,1,94.14238978033961
Acyl_transf,282.329,0.0,2,94.1268110297554
Ribosomal_L30,282.27000000000004,0.0,3,94.1112322791712
EFG_C,282.074,0.0,6,94.09565352858701
TRAP-delta,280.761,0.0,1,94.08007477800281
Ocnus,280.072,0.0,1,94.0644960274186
P68HR,277.581,0.0,2,94.0489172768344
Ribosomal_S10,277.5656666666667,0.0,3,94.0333385262502
GST_N,277.19203333333337,0.14283556979968132,31,94.017759775666
YAF2_RYBP,275.3355,0.0,2,94.00218102508178
Filamin,274.87627272727275,0.0,80,93.98660227449759
Myelin-PO_C,274.781,0.0,1,93.97102352391337
C4bp_oligo,274.05,0.0,1,93.95544477332918
DUF1018,273.934,0.0,1,93.93986602274498
Glycophorin_A,273.904,69.6783022181224,4,93.92428727216078
Cementoin,273.838,0.0,4,93.90870852157657
RPN1_RPN2_N,271.733,0.0,1,93.88534039570027
RPN1_C,271.733,0.0,1,93.88534039570027
BAF,271.62300000000005,0.0,2,93.86197226982395
STI1,269.913,0.0,19,93.84639351923975
ERM,269.6053,28.05375443679508,11,93.83081476865556
Connexin43,269.416,0.0,1,93.81523601807135
CBM_4,269.0825,0.0,3,93.79965726748715
FBPase_C,268.067,0.0,2,93.77628914161085
FBPase,268.067,0.0,2,93.77628914161085
Dynamitin,267.339,0.0,1,93.75292101573453
YchF-GTPase_C,267.122,0.0,1,93.73734226515033
F-actin_cap_A,266.4153333333333,0.0,3,93.72176351456613
EIF_2_alpha,264.983,0.0,1,93.70618476398192
Transket_pyr,264.977625,0.0,8,93.69060601339773
Gal-bind_lectin,264.3645,0.06550190836914567,19,93.67502726281353
KRTAP,264.09075,0.0,14,93.65944851222932
Ribosomal_S7,263.863,0.0,2,93.64386976164512
Ribosomal_L22e,263.8385,0.0,2,93.62829101106091
Ribosomal_S5_C,263.5855,0.0,2,93.6049228851846
Ribosomal_S5,263.5855,0.0,2,93.6049228851846
ProRS-C,262.271,0.0,1,93.5815547593083
LEAP-2,262.007,0.0,1,93.5659760087241
NDK,261.7383,113.85833390665788,13,93.5503972581399
DUF1897,261.72933333333333,0.0,9,93.5348185075557
COX5A,261.355,0.0,1,93.5192397569715
ATP-synt,261.0775,0.0,2,93.50366100638729
Citrate_synt,260.4015,186.94072962572923,3,93.48808225580308
zf-CHCC,258.853,0.0,1,93.47250350521888
HATPase_c,257.0842380952381,0.0,21,93.45692475463467
dsDNA_bind,257.067,0.0,1,93.44134600405047
MAGP,256.219,0.0,2,93.42576725346628
NID,255.51925,0.0,7,93.41018850288206
5_3_exonuc,254.87,0.0,1,93.39460975229787
Phospholamban,254.468,0.0,1,93.37903100171367
B12D,254.07933333333335,0.0,3,93.36345225112946
SPC25,253.634,0.0,1,93.34787350054525
CH,253.56959558823527,57.66233721849991,100,93.33229474996105
Myosin_N,253.3180625,0.0,16,93.31671599937685
Fibrinogen_C,252.7037307692308,0.0,26,93.30113724879264
Mitofilin,252.376,0.0,1,93.28555849820845
ETC_C1_NDUFA5,252.296,0.0,1,93.26997974762425
Ribosomal_S30,251.7,0.0,1,93.25440099704004
Peptidase_C26,251.296,0.0,1,93.23882224645584
Prp19,251.271,0.0,1,93.22324349587163
Chromo_shadow,250.86300000000003,0.0,3,93.20766474528743
RtcB,250.711,0.0,1,93.19208599470322
DERM,250.216,0.0,1,93.17650724411902
ALAD,249.033,0.0,1,93.16092849353483
NAD_Gly3P_dh_N,248.832,0.0,2,93.13756036765851
NAD_Gly3P_dh_C,248.832,0.0,2,93.13756036765851
AIF_C,247.783,0.0,1,93.1141922417822
MAPEG,247.4795,0.0,6,93.098613491198
GST_C,247.26716239316238,17.851155490144986,39,93.0830347406138
ITI_HC_C,247.04733333333334,0.0,6,93.0674559900296
Alpha-amylase,246.93349999999998,0.0,7,93.0518772394454
hnRNP_Q_AcD,246.765,0.0,2,93.03629848886119
Ligase_CoA,246.29975000000002,0.0,4,93.020719738277
Chisel,245.916,0.0,1,93.0051409876928
GDI,245.264,0.0,6,92.98956223710859
Ufm1,244.992,0.0,1,92.97398348652438
DUF3459,244.015,0.0,1,92.95840473594018
Ubiq-Cytc-red_N,243.748,0.0,2,92.93503661006388
UCR_TM,243.748,0.0,2,92.93503661006388
UPF0184,243.667,0.0,1,92.91166848418757
E1_UFD,243.07399999999998,0.0,3,92.88830035831126
UBA_e1_thiolCys,243.07399999999998,0.0,3,92.88830035831126
OCD_Mu_crystall,242.552,0.0,1,92.86493223243497
DUF4749,242.1937142857143,10.154053377838823,7,92.84935348185076
AdoHcyase,241.534,0.0,3,92.82598535597445
AdoHcyase_NAD,241.534,0.0,3,92.82598535597445
Ribosomal_L16,240.79216666666665,141.8944106739233,3,92.80261723009815
Voldacs,240.508,0.0,1,92.78703847951394
SpaA,240.40654166666667,13.318433610351232,4,92.77145972892974
Phos_pyr_kin,240.01,0.0,1,92.75588097834554
Zona_pellucida,239.12117647058824,7.240773439350248,17,92.74030222776133
SNAP-25,238.96699999999998,0.0,2,92.72472347717712
Proteasome,238.8283157894737,0.0,19,92.70914472659292
Clathrin_H_link,238.70633333333333,0.0,3,92.69356597600873
NDUF_B6,238.365,0.0,1,92.67798722542452
ELFV_dehydrog_N,237.67766666666668,0.0,4,92.66240847484032
Peptidase_S41_N,237.18,0.0,4,92.639040348964
Peptidase_S41,237.18,0.0,4,92.639040348964
SecE,236.67,0.0,1,92.61567222308771
PFK,235.74266666666668,0.0,6,92.6000934725035
Arginase,234.40600000000003,0.0,3,92.58451472191929
23ISL,234.299,0.0,1,92.5689359713351
Costars,233.996,0.0,2,92.5533572207509
Pro-kuma_activ,233.806,0.0,1,92.53777847016669
Citrate_bind,233.803,0.0,1,92.52219971958249
Ribosomal_L22,233.6005,0.0,2,92.50662096899829
SURF4,232.165,0.0,1,92.4910422184141
Keratin_B2,231.7910222222222,4.378999999999999,145,92.47546346782988
FoP_duplication,230.498,0.0,2,92.45988471724567
Asp,230.10625,44.695051420711025,10,92.44430596666147
Cytochrom_C1,229.117,0.0,1,92.42872721607726
XPC-binding,227.978,0.0,2,92.41314846549307
WHEP-TRS,227.4094,0.0,7,92.39756971490887
UcrQ,227.242,0.0,1,92.38199096432466
DUF4149,226.631,0.0,1,92.36641221374046
ATP-synt_G,226.537,0.0,2,92.35083346315626
TIP49_C,225.91649999999998,0.0,2,92.33525471257205
Calpain_inhib,224.983,0.0,5,92.31967596198784
Aldedh,224.73533333333333,0.0,20,92.30409721140364
Ribosomal_L1,224.23766666666666,0.0,3,92.28851846081945
I_LWEQ,223.813,0.0,18,92.27293971023524
Glyoxalase,223.6625,0.0,10,92.25736095965104
MaoC_dehydrat_N,222.32,0.0,1,92.24178220906684
COX17,222.306,0.0,1,92.22620345848263
EBP50_C,222.128,0.0,3,92.21062470789843
DUF2076,221.911,0.0,1,92.19504595731422
FRG1,221.8263333333333,72.67077811610389,4,92.17946720673001
Thioredoxin,221.59909756097562,0.0,77,92.16388845614581
RPN2_C,221.544,0.0,1,92.14830970556162
Lyase,221.54133333333334,0.0,3,92.13273095497742
Dak2,221.363,0.0,1,92.1093628291011
Dak1,221.363,0.0,1,92.1093628291011
