Gn,mean,std
ACTN4,1066.435,
EEF1A2,1063.744,
CRYBA4,1051.933,
BHMT,1046.537,
BLVRB,1033.048,
CPS1,1029.791,
PTMA,1027.539,
CEL,1019.813,
ZG16B,1015.036,
RPL29,1001.361,
YWHAB,999.733,
CSTB,997.678,
MYL6,994.006,
HMGN2,989.241,
FABP3,988.639,
RPS14,980.391,
NCL,976.61,
TUBA1B,975.1393333333334,142.08485343038268
ERCC1,968.319,
H1-5,966.193,
SERPINF1,964.363,
GSTA1,958.432,
KRT4,954.569,
H2BC3,944.818,
YWHAQ,943.414,
APCS,938.69,
FABP5,936.717,
EIF5A,932.546,
SH3BGRL3,930.472,
LGALS3,924.993,
GYPE,924.4,
APOH,924.004,
SOD2,923.542,
RPL35,921.513,
HSPA9,921.002,
LYZ,917.034,
VDAC1,916.335,
H2BC11,915.574,
KRTAP19-1,915.343,
TNNT2,914.02,
HNRNPD,913.639,
H2BC17,901.688,
H1-4,900.188,
PRR27,892.942,
TUBA4A,890.0905,239.92345217693918
TUBA1A,887.0600000000001,145.28170229247735
TUBB4A,886.899,132.52029607573326
A1BG,885.188,
APOA4,878.889,
ARL6IP5,878.806,
H2BC12,878.525,
H2BS1,878.525,
MYH11,878.485,
ALDH1A1,877.743,
HNRNPA1,874.4045,147.6644020084055
ACTN1,871.233,
RPL12,871.014,
NME1,870.814,113.85833390665788
BASP1,866.574,
CTRB2,863.444,48.20346927348695
KRTAP1-5,862.616,
RPL3,860.378,
H2BC21,859.668,
NAPSA,858.423,
RPS3,857.422,
SRSF3,854.988,
CD9,854.592,
RPL37A,852.597,
RPS19,847.91,
GPI,847.416,
CYCS,843.579,
HMGB2,843.291,
PRDX3,842.183,
YWHAG,841.915,
TBCA,839.162,
TUBB2A,833.332,
SLURP1,831.235,
H1-2,831.029,
CTRB1,829.359,
ACAA2,829.156,
RPS18,828.417,
RPL13,828.201,
HNRNPA3,826.757,
CA2,822.634,
EZR,821.766,
DBI,817.065,
KRT5,815.326,
CANX,814.944,
RPL6,814.402,
RPL32,813.85,
CKM,812.433,
H2BU1,811.314,
ACAT1,810.784,
UBB,810.7545,326.2300774614443
GSTA2,810.354,
CAVIN1,806.753,
RPL5,805.366,
RPL18A,804.403,
RPL23A,802.829,
VCP,797.463,
H1-0,795.804,
H2BC5,795.245,
RPS9,793.276,
G6PC3,784.267,
CAP1,783.172,
H4C9,781.493,
KRTAP1-1,781.162,
SERPING1,779.141,
H2BC14,778.772,
H2BC9,777.922,
CLU,771.155,
MTRNR2L4,768.223,
HNRNPC,767.979,
TNNI3,764.777,
RNASE1,763.672,
H2BC8,763.517,
TLN1,762.119,
RPL4,761.937,
RPL7,761.893,
H2BC15,757.58,
TPT1,756.852,
NME2P1,753.915,
NME2,753.915,
H2BC13,750.959,
HNRNPU,745.813,
BGN,745.637,
RACK1,742.861,
WDR1,740.039,
RPS7,739.531,
HSPB6,736.599,
RPS20,736.566,
HMGCS2,734.152,
ECHS1,733.663,
RPS11,733.007,
SET,732.798,
SETSIP,732.798,
REG1A,731.907,
PRDX5,731.245,
ENO3,730.589,
RPL38,730.425,
RPL27A,728.964,
KRTAP9-8,727.194,
TREML1,726.388,
CRYGB,726.246,
PIP,725.919,
CST2,725.349,
RPS16,722.456,
RPS4X,721.612,
KNG1,720.888,
PLA2G2E,720.835,
PDIA6,719.186,
ARHGDIB,718.546,
SRSF1,718.35,
SUB1,715.69,
PCBP1,714.567,
PRELP,712.775,
COX6C,711.938,
RPL21,709.641,
RPL7A,706.938,
VDAC2,706.768,
RPS28,706.376,
RPL36,705.872,
RPL35A,704.558,
APOE,704.424,
ANXA4,703.949,
GSTO1,703.187,
AGXT,701.79,
RPS8,699.594,
CES1,697.652,
PPA1,694.856,
AQP4,691.864,
TMA7,691.798,
IDH2,688.865,
H2BC18,685.964,
EIF4A1,685.478,
FABP4,684.167,
DPYSL2,682.887,
FKBP1A,678.936,
RPL19,674.879,
KRT14,673.169,
CLTA,672.209,
CLIC1,672.025,
RPL18,669.769,
RNASE2,669.714,
EIF5AL1,668.628,
RPLP1,668.244,
PDIA4,667.887,
REG1B,667.528,
HNRNPM,664.47,
ZNF589,662.315,
PRR4,661.9875000000001,849.0337187724055
GLYAT,661.801,
RPL15,661.123,
CYB5R3,659.893,
YBX1,657.942,
B2M,656.843,
MYH7,656.427,
NONO,656.398,
CLTC,653.956,
HADH,653.126,
TALDO1,652.653,
GLO1,645.765,
RPL9,645.275,
RPL9P9,645.275,
SAA4,643.972,
SAA2-SAA4,643.972,
RPS3A,642.125,
CRYGD,640.701,
IDH1,640.492,
LTF,640.405,
ASS1,634.892,
NME1-NME2,632.266,
GKN1,629.097,
LASP1,627.923,
RPS26,627.626,
FHL1,627.182,
DSTN,627.074,
SFPQ,624.297,
HNRNPL,623.958,
KRT6B,623.551,
KRT6A,622.944,
SFN,622.662,
ITIH4,621.735,
STIP1,620.603,
RPS21,618.058,
CBR1,617.731,
ACO2,616.654,
MGST1,615.926,
KRT16,614.008,27.888291449997354
HPR,613.84,
CLEC3B,611.617,
PSME1,609.69,
UBA1,609.595,
SECTM1,609.219,
PGRMC1,607.278,
SLC25A5,605.517,
ADH6,605.287,
KRT7,602.567,
AHCY,601.824,
CAPZB,600.641,
SRSF7,596.973,
RPSA,595.565,
PHB,595.49,
RPLP0,595.052,
RPLP0P6,595.052,
ATP5PD,594.69,
AGR2,592.522,
TUFM,592.072,
H3C15,590.371,
RPL31,589.614,
RPS23,583.624,
DCD,583.204,
ALDH2,581.76,
CTSD,581.3585,44.11992761213466
AKR1B1,581.07,
H1-3,581.039,
GOT2,580.928,
TNNI1,580.551,
MTPN,577.99,
ARPC2,576.737,
GANAB,575.887,
UBC,575.4327499999999,355.13584197634844
RHOA,575.174,
KRT6C,573.805,
S100A4,571.925,
ERP29,571.41,
CAPNS1,571.094,
HADHA,570.45,
SOD3,570.447,
HLA-B,569.384,
CFL2,567.969,
RPL27,567.65,
PTBP1,567.539,
STMN1,564.995,
GDI2,564.241,
LRG1,563.556,
RSU1,563.498,
PRKCSH,560.195,
RAB7A,558.716,
RPL14,558.687,
PF4V1,558.675,
H2AC21,556.219,
RPL24,552.882,
MARCKS,552.852,
HSPA1A,552.272,
UBE2L3,550.468,
SLC25A3,548.121,
TG,547.174,
SMR3B,546.345,
SMR3A,546.345,
CNIH4,546.076,
HNRNPA1L2,545.846,
CCT2,545.676,
KRTAP1-4,545.014,
ACTBL2,542.704,
HSD17B10,542.3,
RPL30,541.274,
RPL13A,540.328,
ADH5,539.488,
CYB5A,538.58,
ETFA,538.236,
TUBA3E,536.491,
CCT8,535.881,
BANF1,534.301,
RPS6,533.17,
FASN,532.561,
XRCC5,532.341,
RPS12,532.332,
CRNN,530.932,
RYBP,530.258,
EIF5A2,530.235,
RPS25,528.064,
DCXR,527.555,
RPL23,526.549,
H2AC19,526.278,
SAA1,525.173,
PGD,523.588,
CALM2,522.6020000000001,1.5047232303649631
CALM1,521.538,
AHNAK,521.048,
CAVIN2,520.954,
CORO1A,520.939,
MGST3,519.237,
TMUB1,518.946,
OGN,517.207,
HADHB,516.769,
H2AC7,516.49,
MT-CO2,514.424,
CST3,512.886,
AK2,511.437,
SELENON,511.3585,723.1192142465169
LMNB1,509.178,
ST13,509.119,
ST13P4,509.119,
ST13P5,509.119,
RPL11,508.843,
CACYBP,508.531,
RPL26,508.295,45.154629762627884
RIDA,507.535,
TRIM28,506.721,
C1QBP,506.026,
SPP1,505.648,
H2AC20,505.57,
CAT,503.85,
PSME2,503.667,
LCN1,503.534,
CDC42,503.31,
YWHAH,502.278,
HNRNPH1,500.67,
RPL10,500.5835,141.8944106739233
S100A1,500.202,
PDLIM1,500.134,
AK1,499.689,
SELENBP1,497.74,
UBE2N,496.755,
GLUD1,495.706,
H3-2,495.077,
CCT3,493.88,
SPTAN1,493.446,
MED20,493.411,
MYL9,492.598,
RPS10,491.161,
RPS10-NUDT3,491.161,
SNRPD2,489.974,
RPS2,489.512,
RPL34,488.611,
PHB2,487.865,
ANP32A,487.534,
GP1BB,486.881,
TMEM170A,486.26599999999996,300.13005906106775
VAT1,485.566,
MFAP4,485.228,
IGHV3OR16-10,485.098,
H2AZ2,484.99,
CFH,484.73,
H2AC14,483.799,
PLIN3,481.528,
TUBB3,481.2045,43.13280654559823
CAPZA1,481.054,
CD59,480.334,
GRHPR,479.418,
RPS13,478.442,
H2AZ1,477.903,
FBP1,476.487,
TGM2,475.697,
PIGR,475.486,
DECR1,475.455,
COTL1,475.332,
H2AC1,474.639,
ENO2,474.208,
H2AC12,473.445,
ALDOC,472.687,
RDX,471.918,
FH,470.762,
COL6A3,470.169,
H2AC17,469.967,
ARPC3,468.252,
CSH1,467.927,0.0
CSH2,467.927,
MOG,467.515,
SH3BGRL,467.421,
GPX3,466.571,
PRDX4,466.216,
RPS15,466.109,
SLC25A6,464.562,
KRTAP12-3,464.305,
SNRPF,463.989,
CLIC4,463.663,
EEF1B2,462.92,
RPL22,462.517,
SRSF2,462.163,
DHRS2,461.185,
HNRNPAB,460.859,
PRB1,459.751,
RPS5,459.115,
PLAC8,459.012,
NTS,458.764,
FLNB,458.347,
H3C8,458.284,
ABRACL,457.961,
ANP32B,456.115,
PCMT1,454.316,
ACTR2,454.167,
IQGAP1,453.865,
KRTAP13-1,453.558,
RRBP1,453.468,
RAP1B,451.85299999999995,48.36751804672223
SERPINB1,451.597,
COL6A1,451.516,
DEFB1,449.425,
TUBB6,449.181,247.98941922993404
TUBA8,449.033,
ARF1,449.023,
MYL12B,447.983,
EPHX1,447.518,
PLEC,446.221,
ARG1,445.533,
ILK,444.705,
RAB1B,443.787,
RAB1C,443.787,
CAV1,441.863,
ETFB,441.843,
XRCC6,441.427,
CCT5,441.283,
DDT,440.655,77.15100668170184
LPP,440.164,
LGALS4,439.266,
FTH1,436.405,
S100B,435.735,
ANXA3,435.338,
ESD,435.074,
RPS15A,435.028,
H2AW,435.023,
H2AC8,434.984,
FUS,434.726,
UGP2,433.94,
MYL12A,433.792,
ARPC5,432.959,
SNRPD3,430.748,
HSD3B2,430.13,
SERPINH1,429.832,
DPYSL3,429.553,
CYP17A1,429.165,
NQO1,426.854,
CNP,426.844,
UQCRC2,425.94,
GNB1,425.44,
ACTR3,425.327,
CSTA,425.258,
PPIF,424.726,
S100A2,424.588,
RANBP1,422.551,
MYL3,422.521,
UBE2I,420.702,
RAB1A,420.479,
CCL28,419.423,
SRP14,418.922,
COL14A1,418.834,
ARF3,414.379,
HRG,414.348,
F2,413.689,
RPL10A,413.351,
VTN,413.181,
RPL17-C18orf32,412.821,
RPL17,412.821,
HNRNPH3,412.502,
CST5,412.146,
SUMO3,412.113,
CCT4,411.44,
TPSAB1,411.368,
TPSB2,411.368,
PSMA5,411.334,
SUMO2,410.705,
PNP,410.669,
UQCRB,410.58,
VAPA,409.705,
CCT6A,409.301,
PRB2,409.118,
FTCD,408.096,
PRSS1,407.078,
HNRNPF,406.729,
APEX1,406.231,
ERH,405.275,
PCNA,404.717,
ATP5PO,404.339,110.25208932260647
SFTPA1,404.232,
SULT2A1,404.222,
GATM,403.936,
HSPA2,403.728,
GOT1,403.267,
FKBP4,400.722,
ATP5PF,400.61,
CBX3,399.86,
FKBP3,399.723,
LCP1,399.136,
H2AX,399.013,
HSPA4,398.496,
FSCN1,398.436,
AMY1A,397.77,
COX4I1,396.907,
SPTBN1,396.216,
PRAP1,395.923,
CORO1C,395.421,
ADIRF,394.906,
RBM3,394.462,
HLA-A,393.107,
CYB5B,391.696,
DLD,391.695,
JCHAIN,390.374,
MT-ATP6,390.279,
AGT,390.148,
CD81,389.879,
AKR1A1,388.426,
CNDP2,388.166,
PSMA4,388.048,
COX6B1,387.524,
HDGF,387.261,
AOC3,386.222,
DDTL,386.101,
MAPRE1,385.411,
VDAC3,384.931,
SLC25A4,384.462,
PCBP2,384.44,
ATP5F1C,383.653,
H2AJ,382.911,
WARS1,382.621,
EEF1G,381.72,
SNX3,381.659,
GPM6A,380.927,
H2AC6,380.579,
ATP5MD,380.559,
CRABP2,380.071,
TCP1,380.012,
CSRP3,379.847,
SERPINF2,379.639,
TNNC1,379.498,
ATP1A1,379.312,
NDUFS5,378.643,
NUTF2,378.511,
SSB,377.641,
UQCRC1,377.27,
RPN1,377.005,
AKR1C2,376.819,
F13A1,376.304,
TMED10,375.871,
ITIH1,375.706,
POTEE,375.282,
POTEKP,375.282,
REEP5,374.899,
PARP1,374.408,
GCG,374.296,
AKR1C1,374.068,
SNX4,373.719,
TXNDC5,373.615,
CDC37,373.533,
ITIH2,373.479,
PHGDH,372.861,
MACROH2A1,372.535,
MOBP,371.166,
CAPG,370.907,
ZYX,370.751,
KRT17,370.384,
S100A7,370.376,
ABHD14B,369.662,
SNCA,369.243,
MYH6,368.997,
SND1,368.846,
SLC9A3R1,368.209,
SPRR1A,367.885,
PLEK,367.623,
NDUFA4,367.516,
H3-4,366.239,
ATP5PB,365.896,
ATP2A2,365.323,
KLK1,364.738,
SNAP25,364.066,
KHSRP,363.981,
DHX9,363.699,
RBMX,363.081,
HMGA1,362.856,
C9,361.723,
DDX17,361.533,
STOM,360.962,
PGRMC2,359.359,
GDI1,359.262,
SLC1A2,358.274,
SUCLG1,357.966,
ATP5MG,357.901,
PSAT1,357.846,
RNH1,356.93,
C4B_2,356.416,
C4B,356.416,
CFB,355.8675,43.907795577778685
CTSB,355.344,
HSD17B12,354.76,
ANXA11,354.643,
PPP2R3A,354.061,
GSTM3,353.74,
SORD,353.703,
ALDH6A1,353.201,
PTGES3,352.081,
PAICS,351.915,
ARF4,351.691,
GLRX,351.441,
CRIP2,351.347,
EHD2,351.158,
SEPTIN2,351.031,
RPL26L1,351.022,
BUB3,351.003,
PSMB2,350.828,
GPD1,350.58,
MC1R,350.556,
DYNC1H1,349.807,
RAP1A,349.672,
LEG1,349.182,
HNRNPA0,349.073,
BTF3,348.743,
OTUB1,348.03,
FABP7,348.008,
BUD31,346.884,
PIK3IP1,346.598,
RAB14,346.45,
ECH1,346.4285,112.68382954310704
SERBP1,345.144,
METTL7A,344.989,
LCN2,344.947,
SNRPD1,344.615,
GNG12,344.174,
EEF1D,343.844,
ACADM,343.831,
COL6A2,343.813,
AMY2A,343.61,
PGLYRP2,343.52,
SDHA,343.443,
FLNC,343.312,
GAP43,343.214,
CCT7,343.066,
ITGB1,341.976,
FUBP1,341.017,
KHDRBS1,340.94,
SKP1,340.728,
G6PD,340.646,
FERMT2,339.374,
PSMA6,338.911,
S100A13,338.845,
RPS27,338.813,
PTGR1,337.896,
RPS24,337.89,
RAB10,337.164,
ARF6,336.984,
APRT,336.95,
AMY2B,336.931,
C4A,336.359,
GLOD4,336.012,
ALDH4A1,335.974,
MATR3,335.938,
LAP3,335.291,
PON1,334.744,
SYN1,334.505,
CA3,333.963,
TPSD1,333.816,
RPS17,333.06,
ATP5F1E,333.023,
PSMB1,332.431,
MTHFD1,331.972,
HIBADH,331.64,
VPS29,329.606,
MANF,329.456,
PDCD6IP,329.212,
GP9,329.062,
U2AF2,329.026,
SNU13,328.638,
SSBP1,328.533,
ATP5F1D,327.394,
SEPTIN7,325.431,
LMNB2,324.821,
S100A12,324.442,
PSMB3,324.383,
IVL,323.248,
PSMA3,322.934,
SRP9,322.841,
SAR1A,322.815,
EGF,322.773,
CFHR2,322.081,
UQCRHL,321.932,
UQCRH,321.932,
PGLS,321.325,
RAB15,320.907,
KPNB1,320.859,
TMEM213,320.5,
ASPDH,320.297,
PDLIM7,320.072,
TMEM40,319.953,
PEA15,319.079,
CPA1,317.879,
CD14,317.549,
ITGA2B,316.98,
RPN2,316.924,
PPP1R35,316.842,
IGF2,316.353,
TPD52L2,315.774,
NDUFA2,315.459,
SPRR1B,315.218,
HLA-DRA,315.19,
PSMA7,315.172,
PGM5,315.094,
HMGA2,315.08,
CRYZ,315.025,
HK1,314.58,
FBLN1,314.019,
GNB2,313.401,
COX5B,313.397,
HBE1,312.777,
HPRT1,312.572,
BCAP31,312.447,
ATP5ME,312.283,
GNAI2,312.145,
NAP1L1,311.668,
DDX21,311.389,
DDX39B,311.112,
OTC,310.195,
SEMG2,310.17,
HSD3B1,310.1,
CAPZA2,309.844,
HMGN4,309.642,
RAB2A,309.523,
DMBT1,309.217,
HAMP,308.72,
NUDC,308.196,
KCTD12,307.921,
PLG,307.246,
ALDH7A1,307.073,
DNMT3B,306.839,
ACADVL,305.974,
TGFBI,305.926,
NDRG1,305.186,
EIF4H,304.987,
ILF3,303.684,
FBLN5,303.655,
CMPK1,303.275,
DYNLL1,302.906,
PRMT1,302.396,
IGF2BP1,301.882,
CYP11A1,301.829,
PFKP,301.498,
IDH3A,300.95,
GSTK1,300.886,
RAD23B,300.862,
EDF1,300.249,
CFHR1,299.995,
HNRNPH2,299.878,
TST,298.968,
CMBL,298.946,
NDRG2,298.919,
SERPIND1,298.5,
ERP27,298.467,
PA2G4,297.998,
MFAP5,297.477,
ARF5,297.411,
LRPPRC,297.378,
AKR1C3,297.277,
SEC61B,296.998,
ACP1,296.998,
ALDH9A1,296.87,
SCGB1A1,296.832,
ATIC,296.789,
FBL,296.121,
SNRPG,295.333,
UQCR10,295.271,
UGDH,295.262,
PPIAL4E,295.204,
PPIAL4D,295.204,
CD63,294.864,
PSMD14,294.728,
GNG3,294.669,
ANXA7,294.378,
CISD1,293.908,
RBP1,293.86,
CTU1,293.85,
THY1,293.547,
AARS1,293.503,
EFHD2,293.341,
GUCA2A,293.306,
PAFAH1B2,293.295,
SRGN,292.947,
EIF6,292.915,
GSR,292.823,
CKMT2,292.609,
TXNDC17,292.125,
CALU,292.058,
EIF3A,291.853,
SNCG,291.473,
EPS8,291.109,
SAA2,291.043,
ILF2,290.764,
LGALS7B,290.689,
APOC4,290.361,
LMAN2,290.146,
KHK,289.838,
ECI1,289.689,
ACTN2,289.341,
RAB11B,288.691,
ELOC,288.573,
DDAH1,288.513,
RHO,288.503,
ACO1,288.387,
WFDC2,288.348,
HMGN1,287.943,
PDHB,287.424,
LRRC59,287.054,
CS,287.0,186.94072962572923
GSTA3,286.418,
POSTN,286.276,
CNN2,285.963,
H1-1,285.338,
BPIFA1,285.294,
CKAP4,284.945,
SFTPA2,284.638,
ELANE,284.444,
TUBB1,284.192,
RHOC,284.122,
CSE1L,283.827,
PRM2,283.687,
CAND1,283.136,
PTHLH,282.737,
SPCS1,282.732,
KRTAP12-1,282.503,
S100P,282.102,
LSM2,281.431,
C1QB,280.957,
SSR4,280.761,
PHPT1,280.072,
CALML5,279.872,
SLC4A1,279.203,
RAB11A,278.6,
PPIL1,278.258,
TXNL1,278.096,
CRYBA2,278.02,
DDX5,277.581,
PERP,277.016,
SEMG1,276.292,
SLC25A11,276.264,
PSMB4,276.239,
PSAP,275.752,
MPZ,274.781,
C4BPA,274.05,
TPPP,273.934,
PI3,273.838,
TUBB8,273.826,
HNRNPDL,273.596,
ARPC1B,273.472,
RPS27L,273.09450000000004,29.82929956435449
HYOU1,272.923,
ACAT2,272.588,
TPD52,272.084,
PSMD2,271.733,
RPL28,271.621,
ATP1B1,271.239,
PGAM4,270.962,
AK3,270.611,
QDPR,270.076,
GJA1,269.416,
ELAVL1,269.358,
NPC2,269.322,
YARS1,268.781,
PARVA,268.758,
RNASE7,268.602,
PFN2,268.499,
PYGB,268.372,
NEDD8,268.288,
NIPSNAP1,267.778,
SNRPE,267.701,
EIF4B,267.626,
TARS1,267.361,
DCTN2,267.339,
OLA1,267.122,
CALHM4,267.029,
ACADSB,266.757,
EIF4A2,266.678,
VSNL1,266.229,
PMP2,266.221,
DYNLL2,265.7,
RLBP1,265.6,
HSPB7,265.226,
EIF2S1,264.983,
IGFBP3,264.879,
CTNNA1,264.719,
CMTM5,264.715,
MYBPC3,264.599,
LTA4H,264.314,
IMPDH2,264.041,
CAPN1,263.924,
PSMA1,263.627,
PPIAL4A,263.508,
SNRNP70,263.344,
FRG1,263.233,72.67077811610389
LGALS3BP,263.123,
AK4,262.388,
NIT2,262.304,
EPRS1,262.271,
IL1RN,262.033,
LEAP2,262.007,
TFF3,261.921,
TPPP3,261.869,
PDCD6,261.372,
COX5A,261.355,
HSPG2,261.209,
LDB3,260.903,
CASQ1,260.815,
PCK2,260.686,
TMED2,260.173,
NARS1,260.079,
SRI,260.061,
SYNPO2,259.453,
CHCHD2,259.325,
DDAH2,259.036,
NDUFS6,258.853,
CIRBP,258.789,
COX7A2,258.734,
PGAM2,258.083,
PDCD5,257.067,
CTRC,256.356,
TECR,256.292,
ALYREF,255.549,
RPS29,255.201,
RAC2,255.022,12.85520128197147
FEN1,254.87,
RAD51AP1,254.829,
FERMT3,254.516,
PLN,254.468,
SPCS2,253.634,
MYDGF,253.398,
VASP,253.252,
SFXN1,252.876,
ATP5F1EP2,252.593,
IMMT,252.376,
PURA,252.327,
NDUFA5,252.296,
SERPINB6,252.244,
RUVBL1,252.153,
LSM6,252.09,
RS1,252.065,
FAU,251.7,
CDV3,251.571,
HNRNPR,251.351,
GGH,251.296,
G3BP1,251.287,
PRPF19,251.271,
GATD3B,250.906,
GATD3A,250.906,
RTCB,250.711,
HPD,250.5,
H2BC1,250.496,
DPT,250.216,
AKR7A2,250.052,
ABAT,249.912,
PPT1,249.389,
HBZ,249.338,
ALAD,249.033,
PSMB5,248.611,
HMGB3,248.104,
AIFM1,247.783,
LSM4,247.647,
RBM8A,247.614,
ASPH,247.496,
MRPS27,247.417,
CRABP1,247.384,
DNASE1,247.251,
BSG,246.552,
CLTB,246.225,
NNT,246.149,
SMPX,245.916,
AKR1B10,245.64,
MAP4,245.513,
MZB1,245.207,
PDLIM3,245.192,
UFM1,244.992,
PRXL2A,244.983,
DLST,244.622,
MPST,244.514,
H3-5,244.512,
MTCH2,244.501,
KRTDAP,244.396,
TRA2B,244.365,
SLC3A2,244.015,
CAPN2,243.877,
UQCRFS1P1,243.748,
UQCRFS1,243.748,
KRT15,243.672,
C9orf16,243.667,
MAOA,243.487,
TGM1,243.47,
EIF2S3,243.202,
CRYM,242.552,
SUMO1,242.414,
CTTN,242.393,
SLC2A3,242.229,
SYNCRIP,242.179,
DDX1,241.829,
CST6,241.721,
CRISP3,241.508,
OXCT1,240.542,
CLNS1A,240.508,
EIF4A3,240.407,
GKN2,240.167,
PDXK,240.01,
BTN1A1,239.711,
CRP,239.629,
DHX15,239.061,
CNN3,239.03,
IGKV3D-7,238.845,
IGKV3-7,238.845,
IGKV3OR2-268,238.845,
SNCB,238.785,
DARS1,238.691,
RCN1,238.592,
ARL6IP1,238.427,48.41842973496765
NDUFB6,238.365,
CYP21A2,238.004,
YBX3,237.981,
SERPINB3,237.919,
DNAJA1,237.792,
RBP3,237.18,
REG3A,236.992,
SEC61G,236.67,
VAMP3,236.456,
PAFAH1B3,236.442,
SLIRP,236.067,
S100A14,235.916,
GARS1,235.452,
PIN1,235.11,
MYOZ2,235.048,
WIF1,235.017,
ARID3B,234.985,
EIF3F,234.831,
HSPA1L,234.533,
TMX1,234.359,
MYLK,234.299,
MRTO4,234.034,
TPP1,233.806,
ACLY,233.803,
RPS4Y1,233.222,
F11R,233.175,
CPLX2,233.121,
CTSG,232.8,
PFDN2,232.533,
TCN1,232.463,
FKBP2,232.244,
ACSL1,232.208,
SURF4,232.165,
