Domain,mean,count_domain,domain_abundance_std
Ribosomal_S19e,847.91,1,0.0
PGI,847.416,1,0.0
PLAC8,846.5296666666667,3,0.0
Cytochrom_C,843.579,1,0.0
TBCA,839.162,1,0.0
Ribosomal_S13,828.417,1,0.0
Ribosomal_L13e,828.201,1,0.0
PBP,823.2083333333334,3,0.0
Ribosomal_L6e_N,814.402,1,0.0
Ribosomal_L6e,814.402,1,0.0
Ribosomal_L32e,813.85,1,0.0
Ldh_1_N,806.076875,8,0.0
Ldh_1_C,806.076875,8,0.0
Ribosomal_L5e,805.366,1,0.0
Ribosomal_L18_c,805.366,1,0.0
Ribosomal_L18A,804.403,1,0.0
Ribosomal_L23eN,802.829,1,0.0
Troponin-I_N,764.777,1,0.0
DUF1013,762.119,1,0.0
Ribos_L4_asso_C,761.937,1,0.0
TCTP,756.852,1,0.0
Profilin,753.345,4,0.0
Ribosomal_S7e,739.531,1,0.0
ATP-synt_ab_C,735.0305,2,0.0
Ribosomal_S17_N,733.007,1,0.0
EFP_N,731.3905,2,0.0
Redoxin,731.245,1,0.0
Ribosomal_L38e,730.425,1,0.0
PC4,715.69,1,0.0
COX6C,711.938,1,0.0
eIF-5a,710.4696666666667,3,0.0
HnRNPA1,710.12525,2,147.6644020084055
Ribosomal_L21e,709.641,1,0.0
Ribosomal_S28e,706.376,1,0.0
Ribosomal_L36e,705.872,1,0.0
Rho_GDI,705.6529999999999,3,0.0
Ribosomal_L35Ae,704.558,1,0.0
ATP-synt_ab_N,702.8548000000001,5,0.0
ATP-synt_ab,702.8548000000001,5,0.0
TMA7,691.798,1,0.0
CBFNT,687.249,2,0.0
Ribosomal_L19e,674.879,1,0.0
Ribosomal_L18,669.769,1,0.0
Collagen_mid,664.47,1,0.0
HnRNP_M_NLS,664.47,1,0.0
Lipocalin,661.8392,35,0.0
Ribosomal_L15e,661.123,1,0.0
MIF,657.475,3,77.15100668170184
TAL_FSA,652.653,1,0.0
Tubulin_C,650.3601166666666,20,424.08661539870997
Calreticulin,649.7605,6,0.0
Ribosomal_L6,645.275,2,0.0
Ribosomal_S3Ae,642.125,1,0.0
MG1,638.44075,4,0.0
Arginosuc_synth,634.892,1,0.0
ATP-gua_Ptrans,628.5651250000001,4,172.7511363913418
ATP-gua_PtransN,628.5651250000001,4,172.7511363913418
Ribosomal_S26e,627.626,1,0.0
Ribosomal_L2,624.298,2,0.0
Ribosomal_L2_C,624.298,2,0.0
Ribosomal_60s,622.9986,5,0.0
Ribosomal_S21e,618.058,1,0.0
F_actin_cap_B,600.641,1,0.0
40S_SA_C,595.565,1,0.0
Tubulin,593.3193333333334,22,424.08661539870997
Ribosomal_L31e,589.614,1,0.0
Actin,585.448859375,33,3.7964563081905736
Dermcidin,583.204,1,0.0
Jacalin,580.9105,2,0.0
P34-Arc,576.737,1,0.0
ERp29_N,571.41,1,0.0
ERp29,571.41,1,0.0
Ribosomal_L27e,567.65,1,0.0
CPSase_sm_chain,565.3109999999999,2,0.0
CPSase_L_D3,565.3109999999999,2,0.0
PRKCSH-like,560.195,1,0.0
Ribosomal_L14e,558.687,1,0.0
EFhand_Ca_insen,553.357,5,0.0
Cystatin,548.3797647058824,22,0.0
Cornifin,544.0644,10,0.0
ETF_alpha,538.236,1,0.0
Ribosomal_S6e,533.17,1,0.0
KAsynt_C_assoc,532.561,1,0.0
PS-DH,532.561,1,0.0
KR,532.561,1,0.0
Ku_PK_bind,532.341,1,0.0
DJ-1_PfpI,530.1395,4,0.0
Ribosomal_S25,528.064,1,0.0
GTP_EFTU_D2,526.0345263157894,19,0.0
ADH_zinc_N,524.4708888888889,20,0.0
Ribosomal_S11,524.0585,2,0.0
ADH_N,523.995,17,0.0
6PGD,523.588,1,0.0
Poly_export,522.07,2,1.5047232303649631
TT_ORF2a,521.048,1,0.0
DUF945,521.048,19,0.0
LmeA,521.048,3,0.0
HIT,516.2230000000001,3,0.0
COX2_TM,514.424,1,0.0
COX2,514.424,1,0.0
HipN,509.11899999999997,3,0.0
Ribosomal_L5_C,508.843,1,0.0
Ribosomal_L5,508.843,1,0.0
Siah-Interact_N,508.531,1,0.0
Ribonuc_L-PSP,507.535,1,0.0
Cofilin_ADF,507.04499999999996,12,0.0
Osteopontin,505.648,1,0.0
Histone,504.15690000000006,40,0.0
Catalase-rel,503.85,1,0.0
Catalase,503.85,1,0.0
SVA,500.63825,4,0.0
SBP56,497.74,1,0.0
Transketolase_N,496.0113333333333,4,0.0
Med20,493.411,1,0.0
Caldesmon,493.3876666666667,6,0.0
ETF,490.0395,2,0.0
Ribosomal_L34e,488.611,1,0.0
Ku_C,486.884,2,0.0
Ku,486.884,2,0.0
Ku_N,486.884,2,0.0
SAA,486.7293333333334,3,0.0
CDC48,481.17049999999995,2,0.0
CDC48_N,481.17049999999995,2,0.0
Ribosomal_S13_N,478.442,1,0.0
Ribosomal_L11,476.724,2,0.0
Ribosomal_L11_N,476.724,2,0.0
MGS,475.8036666666667,3,0.0
Keratin_2_head,474.93684615384615,35,0.0
RL10P_insert,474.7126666666666,3,0.0
Pro-rich,473.17175,18,849.0337187724055
FumaraseC_C,470.762,1,0.0
UPF0154,470.2905,2,0.0
NOPS,470.061,3,0.0
C1-set,469.39495528455285,46,10.913730335377236
S10_plectin,468.69100000000003,2,0.0
P21-Arc,468.252,1,0.0
Ribosomal_S19,466.109,1,0.0
Thiolase_N,464.94416666666666,6,0.0
Thiolase_C,464.94416666666666,6,0.0
HSP70,462.1365625,21,0.0
Clathrin_lg_ch,459.217,2,0.0
Pro-NT_NN,458.764,1,0.0
Pyrophosphatase,451.8555,2,0.0
S4,450.26625,4,0.0
Filament,448.85737179487177,86,27.888291449997354
EHN,447.518,1,0.0
S,446.93224999999995,28,0.0
Nucleoplasmin,442.30733333333336,3,0.0
Porin,440.4388,5,0.0
Esterase,435.074,1,0.0
Ribosomal_S8,435.028,1,0.0
DUF5663,433.94,1,0.0
PA28_beta,433.1566666666667,3,0.0
PA28_alpha,433.1566666666667,3,0.0
Histone_H2A_C,432.34242857142857,14,0.0
CAP_N,431.00300000000004,2,0.0
CAP_C,431.00300000000004,2,0.0
Ribosomal_L23,430.9385,2,0.0
Ribosomal_L26,429.6585,2,45.154629762627884
CNPase,426.844,1,0.0
MG4,426.076,8,0.0
Ribosomal_S4,423.1155,2,0.0
Cytochrom_B562,422.551,1,0.0
VBS,418.947,7,0.0
Talin_middle,418.947,3,0.0
SRP14,418.922,1,0.0
ANATO,417.213,8,0.0
Troponin,417.01783333333333,9,0.0
Linker_histone,414.31733333333335,16,0.0
Ribosomal_L4,414.008,2,0.0
Thrombin_light,413.689,1,0.0
Ribosomal_L30_N,412.98650000000004,2,0.0
HMG_CoA_synt_N,412.06100000000004,2,0.0
HMG_CoA_synt_C,412.06100000000004,2,0.0
LTD,411.6776,5,0.0
Serpin,411.1988857142857,35,32.16204483548893
UCR_14kD,410.58,1,0.0
Pro_isomerase,410.40890909090916,22,0.0
S-methyl_trans,409.4116666666667,3,0.0
FTCD_C,408.096,1,0.0
FTCD,408.096,1,0.0
ER,405.275,1,0.0
PCNA_C,404.717,1,0.0
PCNA_N,404.717,1,0.0
OSCP,404.339,1,110.25208932260647
EF1_GNE,403.382,2,0.0
EF-1_beta_acid,403.382,2,0.0
zf-RNPHF,402.4256666666667,3,0.0
ATP-synt_F6,400.61,1,0.0
Peptidase_C12,398.62699999999995,4,0.0
Ferritin,396.99199999999996,4,0.0
PRAP,395.923,1,0.0
Ribosomal_L27A,393.62050000000005,2,0.0
PTRF_SDPR,393.048,4,0.0
Ig_J_chain,390.374,1,0.0
ATP-synt_A,390.279,1,0.0
Ribosomal_S8e,389.00050000000005,2,0.0
Clusterin,388.3615,2,0.0
HMG14,387.8036,5,0.0
Ribosomal_S9,384.0425,2,0.0
A2M_recep,382.7392222222222,9,0.0
A2M_BRD,382.7392222222222,9,0.0
TED_complement,382.7392222222222,9,0.0
MG3,382.7392222222222,9,0.0
A2M,382.7392222222222,9,0.0
MG2,382.7392222222222,9,0.0
EF1G,381.72,1,0.0
3HCDH_N,381.448,4,0.0
3HCDH,381.448,6,0.0
Iso_dh,381.37260000000003,5,0.0
Ribosomal_S17,380.9165,2,0.0
ATP_synth_reg,380.559,1,0.0
MARCKS,379.596,3,0.0
Cpn60_TCP1,378.61650000000003,19,0.0
Ribophorin_I,377.005,1,0.0
PADR1,374.408,1,0.0
Lipoprotein,374.296,1,0.0
CDC37_C,373.533,1,0.0
CDC37_N,373.533,1,0.0
PGDH_inter,372.861,1,0.0
Transketolase_C,368.0677999999999,5,0.0
SDA1,367.94375,5,0.0
Ribosomal_L10,365.99925,4,0.0
Mt_ATP-synt_B,365.896,1,0.0
PROL5-SMR,364.6046666666667,3,0.0
LRR_RI_capping,356.93,1,0.0
Clathrin-link,356.48900000000003,2,0.0
Clathrin_propel,356.48900000000003,12,0.0
GTP_EFTU,355.86516666666665,30,0.0
Propeptide_C1,355.344,1,0.0
PRA1,354.124,3,0.0
SAICAR_synt,351.915,1,0.0
AIRC,351.915,1,0.0
Leg1,349.182,1,0.0
G10,346.884,1,0.0
ADI,346.2245,2,0.0
Succ_DH_flav_C,343.443,1,0.0
Neuromodulin_N,343.214,1,0.0
Neuromodulin,343.214,1,0.0
ELFV_dehydrog,342.1055,4,0.0
Skp1,340.728,1,0.0
AT_hook,338.96799999999996,6,0.0
40S_S4_C,338.01433333333335,3,0.0
Ribosomal_S4e,338.01433333333335,3,0.0
RS4NT,338.01433333333335,3,0.0
Ribosomal_S24e,337.89,1,0.0
Peptidase_M17_N,335.291,1,0.0
EFG_III,333.8272,5,0.0
EFG_IV,333.8272,5,0.0
Ribosomal_S17e,333.06,1,0.0
Ribosomal_L3,329.85066666666665,4,0.0
SSB,328.533,1,0.0
ATP-synt_DE_N,327.394,1,0.0
Ribosomal_S2,326.70700000000005,4,0.0
SH3BGR,326.33959999999996,5,0.0
Carb_anhydrase,325.18105882352944,17,0.0
Involucrin_N,323.248,1,0.0
Involucrin,323.248,38,0.0
SRP9-21,322.841,1,0.0
UCR_hinge,321.932,2,0.0
TMEM213,320.5,1,0.0
DUF108,320.297,1,0.0
TMEM40,319.953,1,0.0
Ribophorin_II,316.924,1,0.0
PPP1R35_C,316.842,1,0.0
IGF2_C,316.353,1,0.0
Skp1_POZ,314.65049999999997,2,0.0
UDP-g_GGTase,314.2681666666667,4,326.2300774614443
COX5B,313.397,1,0.0
Ribosom_S12_S23,313.0055,2,0.0
Ribosomal_L24e,312.86499999999995,2,0.0
ATP-synt_E,312.283,1,0.0
Hepcidin,308.72,1,0.0
Aconitase_C,308.3723333333333,3,0.0
Aconitase,308.3723333333333,4,0.0
Mt_ATP-synt_D,308.254,2,0.0
NuDC,308.196,1,0.0
Rib_recp_KP_reg,307.671,2,0.0
Ribosomal_L14,307.4925,2,0.0
Ribosomal_L13,307.301,2,0.0
Vinculin,306.40099999999995,12,0.0
Thioesterase,306.358,2,0.0
Ribosomal_S27e,305.95375,2,29.82929956435449
Alpha-amylase_C,305.20225,4,0.0
eIF-4B,304.987,1,0.0
SGS,304.45550000000003,2,0.0
MHC_I_C,302.97775,4,0.0
DSBA,300.886,1,0.0
MBF1,300.249,1,0.0
Synuclein,299.83366666666666,3,0.0
MAM33,298.0545,2,0.0
LMWPc,296.998,1,0.0
Sec61_beta,296.998,1,0.0
AICARFT_IMPCHas,296.789,1,0.0
Fibrillarin,296.121,1,0.0
CoA_binding,295.8845,2,0.0
UCR_UQCRX_QCR9,295.271,1,0.0
UDPG_MGDP_dh_C,295.262,1,0.0
UDPG_MGDP_dh,295.262,1,0.0
UDPG_MGDP_dh_N,295.262,1,0.0
zn-ribbon,293.85,2,0.0
DUF5110,293.7175,2,0.0
Semenogelin,293.231,3,0.0
eIF-6,292.915,1,0.0
ATP-synt_Eps,292.808,2,0.0
P16-Arc,292.17650000000003,2,0.0
DUF953,292.125,1,0.0
APOC4,290.361,1,0.0
Rhodopsin_N,288.503,1,0.0
ketoacyl-synt,287.7475,2,0.0
Ketoacyl-synt_C,287.7475,2,0.0
Ribosomal_S15,287.433,2,0.0
Proteasome_A_N,286.25100000000003,8,0.0
KOW,284.86875,14,0.0
CAS_CSE1,283.827,1,0.0
Protamine_P2,283.687,1,0.0
Calsequestrin,283.5,5,0.0
SPC12,282.732,1,0.0
Acyl_transf,282.329,2,0.0
Ribosomal_L30,282.27000000000004,3,0.0
EFG_C,282.074,6,0.0
TRAP-delta,280.761,1,0.0
Ocnus,280.072,1,0.0
P68HR,277.581,2,0.0
Ribosomal_S10,277.5656666666667,3,0.0
GST_N,277.19203333333337,31,0.14283556979968132
YAF2_RYBP,275.3355,2,0.0
Filamin,274.87627272727275,80,0.0
Myelin-PO_C,274.781,1,0.0
C4bp_oligo,274.05,1,0.0
DUF1018,273.934,1,0.0
Glycophorin_A,273.904,4,69.6783022181224
Cementoin,273.838,4,0.0
RPN1_RPN2_N,271.733,1,0.0
RPN1_C,271.733,1,0.0
BAF,271.62300000000005,2,0.0
STI1,269.913,19,0.0
ERM,269.6053,11,28.05375443679508
Connexin43,269.416,1,0.0
CBM_4,269.0825,3,0.0
FBPase_C,268.067,2,0.0
FBPase,268.067,2,0.0
Dynamitin,267.339,1,0.0
YchF-GTPase_C,267.122,1,0.0
F-actin_cap_A,266.4153333333333,3,0.0
EIF_2_alpha,264.983,1,0.0
Transket_pyr,264.977625,8,0.0
Gal-bind_lectin,264.3645,19,0.06550190836914567
KRTAP,264.09075,14,0.0
Ribosomal_S7,263.863,2,0.0
Ribosomal_L22e,263.8385,2,0.0
Ribosomal_S5_C,263.5855,2,0.0
Ribosomal_S5,263.5855,2,0.0
ProRS-C,262.271,1,0.0
LEAP-2,262.007,1,0.0
NDK,261.7383,13,113.85833390665788
DUF1897,261.72933333333333,9,0.0
COX5A,261.355,1,0.0
ATP-synt,261.0775,2,0.0
Citrate_synt,260.4015,3,186.94072962572923
zf-CHCC,258.853,1,0.0
HATPase_c,257.0842380952381,21,0.0
dsDNA_bind,257.067,1,0.0
MAGP,256.219,2,0.0
NID,255.51925,7,0.0
5_3_exonuc,254.87,1,0.0
Phospholamban,254.468,1,0.0
B12D,254.07933333333335,3,0.0
SPC25,253.634,1,0.0
CH,253.56959558823527,100,57.66233721849991
Myosin_N,253.3180625,16,0.0
Fibrinogen_C,252.7037307692308,26,0.0
Mitofilin,252.376,1,0.0
ETC_C1_NDUFA5,252.296,1,0.0
Ribosomal_S30,251.7,1,0.0
Peptidase_C26,251.296,1,0.0
Prp19,251.271,1,0.0
Chromo_shadow,250.86300000000003,3,0.0
RtcB,250.711,1,0.0
DERM,250.216,1,0.0
ALAD,249.033,1,0.0
NAD_Gly3P_dh_N,248.832,2,0.0
NAD_Gly3P_dh_C,248.832,2,0.0
AIF_C,247.783,1,0.0
MAPEG,247.4795,6,0.0
GST_C,247.26716239316238,39,17.851155490144986
ITI_HC_C,247.04733333333334,6,0.0
Alpha-amylase,246.93349999999998,7,0.0
hnRNP_Q_AcD,246.765,2,0.0
Ligase_CoA,246.29975000000002,4,0.0
Chisel,245.916,1,0.0
GDI,245.264,6,0.0
Ufm1,244.992,1,0.0
DUF3459,244.015,1,0.0
Ubiq-Cytc-red_N,243.748,2,0.0
UCR_TM,243.748,2,0.0
UPF0184,243.667,1,0.0
E1_UFD,243.07399999999998,3,0.0
UBA_e1_thiolCys,243.07399999999998,3,0.0
OCD_Mu_crystall,242.552,1,0.0
DUF4749,242.1937142857143,7,10.154053377838823
AdoHcyase,241.534,3,0.0
AdoHcyase_NAD,241.534,3,0.0
Ribosomal_L16,240.79216666666665,3,141.8944106739233
Voldacs,240.508,1,0.0
SpaA,240.40654166666667,4,13.318433610351232
Phos_pyr_kin,240.01,1,0.0
Zona_pellucida,239.12117647058824,17,7.240773439350248
SNAP-25,238.96699999999998,2,0.0
Proteasome,238.8283157894737,19,0.0
Clathrin_H_link,238.70633333333333,3,0.0
NDUF_B6,238.365,1,0.0
ELFV_dehydrog_N,237.67766666666668,4,0.0
Peptidase_S41_N,237.18,4,0.0
Peptidase_S41,237.18,4,0.0
SecE,236.67,1,0.0
PFK,235.74266666666668,6,0.0
Arginase,234.40600000000003,3,0.0
23ISL,234.299,1,0.0
Costars,233.996,2,0.0
Pro-kuma_activ,233.806,1,0.0
Citrate_bind,233.803,1,0.0
Ribosomal_L22,233.6005,2,0.0
SURF4,232.165,1,0.0
Keratin_B2,231.7910222222222,145,4.378999999999999
FoP_duplication,230.498,2,0.0
Asp,230.10625,10,44.695051420711025
Cytochrom_C1,229.117,1,0.0
XPC-binding,227.978,2,0.0
WHEP-TRS,227.4094,7,0.0
UcrQ,227.242,1,0.0
DUF4149,226.631,1,0.0
ATP-synt_G,226.537,2,0.0
TIP49_C,225.91649999999998,2,0.0
Calpain_inhib,224.983,5,0.0
Aldedh,224.73533333333333,20,0.0
Ribosomal_L1,224.23766666666666,3,0.0
I_LWEQ,223.813,18,0.0
Glyoxalase,223.6625,10,0.0
MaoC_dehydrat_N,222.32,1,0.0
COX17,222.306,1,0.0
EBP50_C,222.128,3,0.0
DUF2076,221.911,1,0.0
FRG1,221.8263333333333,4,72.67077811610389
Thioredoxin,221.59909756097562,77,0.0
RPN2_C,221.544,1,0.0
Lyase,221.54133333333334,3,0.0
Dak2,221.363,1,0.0
Dak1,221.363,1,0.0
DDOST_48kD,221.317,1,0.0
FGAR-AT_N,221.209,1,0.0
FGAR-AT_linker,221.209,1,0.0
RLL,220.031,1,0.0
G6PD_N,219.5395,2,0.0
G6PD_C,219.5395,2,0.0
NeuB,219.529,1,0.0
SAF,219.529,1,0.0
Rad60-SLD,218.99699999999999,7,0.0
Nuc_deoxyrib_tr,218.898,1,0.0
MAP1B_neuraxin,218.731,10,0.0
MISS,218.436,1,0.0
PP28,218.137,1,0.0
COPI_C,217.455,1,0.0
SBDS,216.855,1,0.0
SBDS_C,216.855,1,0.0
CPSase_L_D2,216.8405714285714,9,0.0
MitoNEET_N,215.972,2,0.0
Ribosomal_L7Ae,215.17354545454546,11,0.0
Biliv-reduc_cat,213.625,1,0.0
TDP43_N,213.421,1,0.0
CDC37_M,212.614,2,0.0
adh_short_C2,212.48689999999996,10,0.0
MCM2_N,212.369,1,0.0
BTHB,212.2825,2,0.0
SOUL,211.8365,2,0.0
EB1,211.65766666666664,3,0.0
SHMT,211.26850000000002,2,0.0
MitMem_reg,209.8605,4,0.0
NDUF_B4,209.677,1,0.0
ATP-grasp,209.07766666666666,3,0.0
Humanin,208.63949999999997,4,0.0
ATP-synt_ab_Xtn,208.586,1,0.0
ApoM,208.067,1,0.0
zf-PARP,207.30100000000002,3,0.0
Kindlin_2_N,206.732,3,0.0
Str_synth,206.433,1,0.0
APMAP_N,206.433,1,0.0
ECH,205.85739285714288,15,112.68382954310704
OTCace,205.513,2,0.0
OTCace_N,205.513,2,0.0
S36_mt,205.259,2,0.0
A1_Propeptide,205.1842142857143,7,44.695051420711025
FTCD_N,204.562,3,0.0
COX4,204.0655,2,0.0
LSM,204.03805263157895,20,5.314614567398085
HS1_rep,203.4305,11,0.0
CSD,203.364,13,0.0
CDV3,202.743,2,0.0
POB3_N,202.549,1,0.0
SSrecog,202.549,1,0.0
DAD,201.466,1,0.0
PhzC-PhzF,201.251,1,0.0
U6-snRNA_bdg,200.762,1,0.0
PROCN,200.762,1,0.0
U5_2-snRNA_bdg,200.762,1,0.0
PRP8_domainIV,200.762,1,0.0
PROCT,200.762,1,0.0
PRO8NT,200.762,1,0.0
UFC1,200.651,1,0.0
Cytochrom_B558a,200.603,1,0.0
Coatomer_b_Cpla,200.368,1,0.0
Coatamer_beta_C,200.368,1,0.0
RasGAP_C,200.043,3,0.0
Romo1,199.559,1,0.0
PITH,199.437,2,0.0
Caveolin,199.43133333333333,3,0.0
2-Hacid_dh_C,199.3552,5,0.0
Myosin_tail,199.34909523809523,24,0.0
Complex1_30kDa,199.104,1,0.0
AIG2,198.116,1,0.0
AIF-MLS,197.6005,2,0.0
DUF5600,197.29500000000002,4,0.0
Pox_A_type_inc,197.149,1,0.0
BcrAD_BadFG,197.004,1,0.0
Pyr_redox_dim,196.6192,5,0.0
DUF1943,196.047,1,0.0
DUF1081,196.047,1,0.0
ApoB100_C,196.047,1,0.0
NINJA_B,195.959,1,0.0
PHF5,194.157,1,0.0
NADH-G_4Fe-4S,193.862,1,0.0
NADH_dhqG_C,193.862,1,0.0
Molybdopterin,193.862,1,0.0
Ndufs5,193.72299999999998,2,0.0
Paf67,193.693,1,0.0
CRM1_repeat,193.509,3,0.0
Mesd,193.295,1,0.0
Cu-oxidase,193.1475,29,0.0
Dynein_light,192.86299999999997,3,0.0
RPN6_C_helix,191.983,1,0.0
RPN6_N,191.983,1,0.0
Phosphorylase,190.51566666666668,3,0.0
DUF866,190.468,1,0.0
Gly_acyl_tr_N,190.25900000000001,4,0.0
Gly_acyl_tr_C,190.25900000000001,4,0.0
tRNA-synt_1c_C,190.121,2,0.0
Isochorismatase,189.338,1,0.0
JUPITER,188.54250000000002,4,0.0
YABBY,188.337,1,0.0
ADK,188.2937,13,0.0
GIT1_C,187.79940000000002,6,0.0
Gelsolin,187.16564285714284,49,0.0
Oxidored_q4,187.045,1,0.0
Aldo_ket_red,186.55176470588236,17,0.0
Synapsin,186.03199999999998,2,0.0
Synapsin_N,186.03199999999998,2,0.0
Synapsin_C,186.03199999999998,2,0.0
Band_7_C,185.836,1,0.0
Epiglycanin_TR,185.83,8,0.0
Spectrin_like,185.715875,4,56.975128894106064
NDUFB10,185.155,1,0.0
Peptidase_M17,184.9695,2,0.0
Band,184.52372727272726,11,0.0
Perilipin,184.262,30,0.0
RPN5_C,183.876,1,0.0
DUF1907,183.198,1,0.0
tRNA-synt_1b,183.02249999999998,4,0.0
Tom22,183.01,1,0.0
EHD_N,182.7774,5,0.0
Bap31,182.772,2,0.0
Coatomer_E,182.736,1,0.0
ALIX_LYPXL_bnd,182.692,2,0.0
Guanylin,182.5565,2,0.0
PP-binding,182.5136,5,0.0
FTHFS,182.45399999999998,2,3.3842130547588174
Insulin,181.88285000000002,11,39.42386506292856
Rotamase,181.8035,2,0.0
Ndr,181.77525,4,0.0
IHABP4_N,181.556,4,0.0
GUCT,181.5255,2,0.0
NOP5NT,181.3655,2,0.0
Peptidase_C65,181.22549999999998,2,0.0
DUF1899,180.85657142857144,8,7.072519141013334
TPD52,180.6675,5,0.0
GATase,180.17218181818183,11,0.0
Thymopoietin,179.811,2,0.0
LAP2alpha,179.811,1,0.0
GFRP,179.006,1,0.0
COesterase,178.59464285714284,14,0.0
Glucosamine_iso,177.91174999999998,4,0.0
LBP_BPI_CETP,177.54361538461538,13,0.0
Nebulin,177.53125,210,0.0
AIMP2_LysRS_bd,177.099,1,0.0
Colipase,177.086,1,0.0
Colipase_C,177.086,1,0.0
DUF5082,176.305,1,0.0
Malectin,176.18,1,0.0
ARPC4,175.832,1,0.0
MVP_shoulder,175.721,1,0.0
Vault,175.721,9,0.0
Transformer,175.487,2,0.0
DUF4750,175.337,1,0.0
Nudc_N,175.32600000000002,2,0.0
Rpn9_C,175.11,1,0.0
MCM_N,174.91083333333333,6,0.0
Prot_ATP_ID_OB,174.45,5,0.0
E1_DerP2_DerF2,174.26200000000003,3,0.0
STAT1_TAZ2bind,174.241,1,0.0
UDPGP,174.20033333333333,3,0.0
Smac_DIABLO,174.193,1,0.0
PC_rep,173.8313333333333,13,0.0
CCD48,173.466,2,0.0
eIF-3_zeta,173.314,1,0.0
eIF2_C,173.0965,2,0.0
dUTPase,172.184,1,0.0
DUF423,171.736,1,0.0
ApoLp-III,171.564,2,0.0
PGM_PMM_II,170.93366666666665,3,0.0
DLH,170.923,2,0.0
PTPA,170.409,1,0.0
ARMET_N,170.3835,2,0.0
ALG3,170.294,1,0.0
Arylesterase,169.79133333333334,3,0.0
FERM_f0,169.66320000000002,5,0.0
zf-CDGSH,168.84400000000002,4,0.0
ACBP,168.31485714285714,7,0.0
NAC,167.8136,6,0.0
Intein_splicing,167.146,1,0.0
CathepsinC_exc,166.896,1,0.0
COX3,166.894,1,0.0
DHHA1,166.6405,2,0.0
Cu_amine_oxidN2,166.45466666666667,3,0.0
Cu_amine_oxidN3,166.45466666666667,3,0.0
Cu_amine_oxid,166.45466666666667,3,0.0
Peptidase_M16,166.3412857142857,7,0.0
Peptidase_M16_C,166.3412857142857,10,0.0
eIF3_subunit,166.18,1,0.0
PRKCSH,165.66125000000002,7,0.0
COX6B,165.62,3,0.0
Vps35,165.6,1,0.0
Nas2_N,165.585,1,0.0
SHNi-TPR,164.9685,2,0.0
Amidohydro,164.22495454545455,15,1.385222184344445
Cyt-b5,163.65814285714285,14,0.0
Translin,163.435,2,0.0
DUF1776,163.4015,2,0.0
TRAP-gamma,162.736,1,0.0
Ala_racemase_N,162.474,1,0.0
NIPSNAP,162.418,8,0.0
NADHdh_A3,162.338,1,0.0
Complex1_51K,162.332,1,0.0
SLBB,162.332,1,0.0
NADH_4Fe-4S,162.332,1,0.0
KRTDAP,162.2705,3,0.0
Comm,160.606,1,0.0
PPR_long,160.5245,3,0.0
VOMI,159.993,1,0.0
Endosulfine,159.0085,2,0.0
DUF5915,158.727,1,0.0
PheRS_DBD3,158.638,1,0.0
PheRS_DBD2,158.638,1,0.0
PheRS_DBD1,158.638,1,0.0
CutA1,158.631,1,0.0
Ribosomal_L28e,158.338,2,0.0
